Epoch,Open,High,Low,Close,Volume
2013-04-15 00:00:00-04:00,158.0,158.13,155.17,155.22,30592535
2013-04-16 00:00:00-04:00,156.29,157.49,155.91,157.36,20604915
2013-04-17 00:00:00-04:00,156.29,156.32,154.29,155.09,31317790
2013-04-18 00:00:00-04:00,155.37,155.4,153.55,154.13,23206007
2013-04-19 00:00:00-04:00,154.5,155.55,154.13,155.47,19395560
2013-04-22 00:00:00-04:00,155.78,156.54,154.75,156.19,14632247
2013-04-23 00:00:00-04:00,156.95,157.93,156.17,157.82,20643623
2013-04-24 00:00:00-04:00,157.83,158.3,157.54,157.87,12641469
2013-04-25 00:00:00-04:00,158.34,159.26,158.11,158.54,15964279
2013-04-26 00:00:00-04:00,158.33,158.59,157.73,158.25,13536599
2013-04-29 00:00:00-04:00,158.665,159.65,158.43,159.28,9732959
2013-04-30 00:00:00-04:00,159.27,159.72,158.61,159.64,12888614
2013-05-01 00:00:00-04:00,159.33,159.405,158.1,158.27,14704730
2013-05-02 00:00:00-04:00,158.67,159.89,158.54,159.74,12391956
2013-05-03 00:00:00-04:00,161.14,161.88,161.04,161.36,16613244
2013-05-06 00:00:00-04:00,161.49,162.0,161.42,161.79,7598182
2013-05-07 00:00:00-04:00,162.13,162.645,161.67,162.59,9958576
2013-05-08 00:00:00-04:00,162.42,163.38,162.34,163.34,12477070
2013-05-09 00:00:00-04:00,163.26,163.7,162.475,162.85,11975515
2013-05-10 00:00:00-04:00,162.99,163.49,162.51,163.47,11999209
2013-05-13 00:00:00-04:00,163.2,163.81,162.83,163.56,10689927
2013-05-14 00:00:00-04:00,163.67,165.34,163.67,165.27,14373750
2013-05-15 00:00:00-04:00,164.965,166.44,164.91,166.12,15189898
2013-05-16 00:00:00-04:00,165.77,166.36,165.1,165.26,14537781
2013-05-17 00:00:00-04:00,165.95,167.04,165.73,167.02,16681133
2013-05-20 00:00:00-04:00,166.78,167.58,166.61,166.93,12927416
2013-05-21 00:00:00-04:00,167.08,167.8,166.5,167.21,13152338
2013-05-22 00:00:00-04:00,167.33,169.07,165.18,165.84,34877988
2013-05-23 00:00:00-04:00,164.16,165.91,163.95,165.44,26094135
2013-05-24 00:00:00-04:00,164.47,165.33,163.99,165.29,16541055
2013-05-28 00:00:00-04:00,167.06,167.78,165.81,166.37,19385831
2013-05-29 00:00:00-04:00,165.42,165.8,164.34,165.26,25365157
2013-05-30 00:00:00-04:00,165.35,166.59,165.23,165.86,15257200
2013-05-31 00:00:00-04:00,165.37,166.31,163.58,163.59,20299699
2013-06-03 00:00:00-04:00,163.84,164.46,162.66,164.39,22822467
2013-06-04 00:00:00-04:00,164.44,165.1,162.73,163.51,21561936
2013-06-05 00:00:00-04:00,163.1,163.42,161.13,161.31,28317893
2013-06-06 00:00:00-04:00,161.2,162.72,160.26,162.71,23462203
2013-06-07 00:00:00-04:00,163.85,164.94,163.14,164.79,21486075
2013-06-10 00:00:00-04:00,165.31,165.4,164.38,164.77,12484682
2013-06-11 00:00:00-04:00,163.28,164.53,162.74,163.11,19957311
2013-06-12 00:00:00-04:00,164.22,164.39,161.6,161.76,21835426
2013-06-13 00:00:00-04:00,161.64,164.5,161.3,164.22,19002891
2013-06-14 00:00:00-04:00,164.03,164.66,162.91,163.19,14402773
2013-06-17 00:00:00-04:00,164.3,165.21,163.56,164.47,15361958
2013-06-18 00:00:00-04:00,164.53,165.99,164.52,165.75,10703558
2013-06-19 00:00:00-04:00,165.66,165.88,163.44,163.47,23475259
2013-06-20 00:00:00-04:00,161.86,162.1,158.98,159.43,35955081
2013-06-21 00:00:00-04:00,159.63,159.76,157.475,158.96,32068523
2013-06-24 00:00:00-04:00,157.41,158.42,155.74,157.06,30238461
2013-06-25 00:00:00-04:00,158.48,159.16,157.43,158.59,18997136
2013-06-26 00:00:00-04:00,159.87,160.5,159.25,160.13,17271634
2013-06-27 00:00:00-04:00,161.1,161.82,160.95,161.14,16705418
2013-06-28 00:00:00-04:00,160.63,161.4,159.87,160.51,20130316
2013-07-01 00:00:00-04:00,161.26,162.48,161.08,161.32,17444454
2013-07-02 00:00:00-04:00,161.12,162.3,160.5,161.23,16634036
2013-07-03 00:00:00-04:00,160.48,161.76,160.22,161.35,8854772
2013-07-05 00:00:00-04:00,162.47,163.07,161.3,163.03,14164754
2013-07-08 00:00:00-04:00,163.87,164.39,163.58,163.94,14524738
2013-07-09 00:00:00-04:00,164.97,165.33,164.28,165.11,16405970
2013-07-10 00:00:00-04:00,164.97,165.74,164.63,165.19,17551603
2013-07-11 00:00:00-04:00,167.11,167.6,166.54,167.42,14477501
2013-07-12 00:00:00-04:00,167.4,167.85,167.13,167.78,11793392
2013-07-15 00:00:00-04:00,167.97,168.38,167.69,168.17,9004596
2013-07-16 00:00:00-04:00,168.26,168.36,167.07,167.53,10503112
2013-07-17 00:00:00-04:00,168.16,168.47,167.73,167.97,11556468
2013-07-18 00:00:00-04:00,168.31,169.26,168.21,168.9,11701117
2013-07-19 00:00:00-04:00,168.52,169.16,168.31,169.16,10963084
2013-07-22 00:00:00-04:00,169.41,169.73,169.02,169.49,9040360
2013-07-23 00:00:00-04:00,169.8,169.83,169.05,169.2,8918265
2013-07-24 00:00:00-04:00,169.8,169.85,168.18,168.54,14007432
2013-07-25 00:00:00-04:00,168.22,169.07,167.94,169.0,12165511
2013-07-26 00:00:00-04:00,168.22,169.16,167.52,169.1,12354349
2013-07-29 00:00:00-04:00,168.68,169.06,168.11,168.525,9126067
2013-07-30 00:00:00-04:00,169.1,169.27,168.2,168.59,10284717
2013-07-31 00:00:00-04:00,168.96,169.85,168.49,168.71,17260379
2013-08-01 00:00:00-04:00,169.98,170.805,169.9,170.64,13931960
2013-08-02 00:00:00-04:00,170.28,170.94,170.05,170.94,10317122
2013-08-05 00:00:00-04:00,170.57,170.96,170.36,170.7,5711937
2013-08-06 00:00:00-04:00,170.37,170.51,169.35,169.75,7834060
2013-08-07 00:00:00-04:00,169.19,169.42,168.55,169.19,10390266
2013-08-08 00:00:00-04:00,169.98,170.17,168.93,169.87,10140087
2013-08-09 00:00:00-04:00,169.58,170.09,168.72,169.26,12245576
2013-08-12 00:00:00-04:00,168.46,169.31,168.39,169.13,8325599
2013-08-13 00:00:00-04:00,169.41,169.9,168.41,169.63,10333259
2013-08-14 00:00:00-04:00,169.53,169.79,168.7,168.75,10024050
2013-08-15 00:00:00-04:00,167.41,167.41,166.09,166.39,18369096
2013-08-16 00:00:00-04:00,166.07,166.63,165.5,165.85,14405054
2013-08-19 00:00:00-04:00,165.64,166.21,164.84,164.84,10985907
2013-08-20 00:00:00-04:00,165.05,166.2,164.87,165.57,11435419
2013-08-21 00:00:00-04:00,165.14,166.02,164.19,164.56,20351140
2013-08-22 00:00:00-04:00,164.9,166.3,164.9,166.0,11804507
2013-08-23 00:00:00-04:00,166.54,166.82,165.78,166.61,9622488
2013-08-26 00:00:00-04:00,166.79,167.3,165.9,165.99,9972988
2013-08-27 00:00:00-04:00,164.36,164.97,163.22,163.39,16914458
2013-08-28 00:00:00-04:00,163.26,164.49,163.06,163.9,11389362
2013-08-29 00:00:00-04:00,163.55,165.03,163.4,164.17,10772019
2013-08-30 00:00:00-04:00,164.51,164.53,163.18,163.66,14570204
2013-09-03 00:00:00-04:00,165.23,165.57,163.71,164.33,16307387
2013-09-04 00:00:00-04:00,164.44,166.03,164.135,165.76,11325969
2013-09-05 00:00:00-04:00,165.85,166.4,165.74,165.91,8074814
2013-09-06 00:00:00-04:00,166.51,166.98,164.49,165.96,18682051
2013-09-09 00:00:00-04:00,166.45,167.73,166.45,167.62,10195593
2013-09-10 00:00:00-04:00,168.63,168.9,168.26,168.88,13357868
2013-09-11 00:00:00-04:00,168.64,169.38,168.35,169.37,11208174
2013-09-12 00:00:00-04:00,169.34,169.56,168.72,168.91,11680436
2013-09-13 00:00:00-04:00,169.13,169.46,168.74,169.37,9921614
2013-09-16 00:00:00-04:00,171.16,171.24,170.04,170.31,12411532
2013-09-17 00:00:00-04:00,170.47,171.11,170.47,171.04,9054575
2013-09-18 00:00:00-04:00,171.01,173.52,170.58,173.09,22766270
2013-09-19 00:00:00-04:00,173.52,173.6,172.59,172.77,14956220
2013-09-20 00:00:00-04:00,172.32,172.32,170.59,170.73,15703618
2013-09-23 00:00:00-04:00,170.49,170.65,169.4,169.93,11041152
2013-09-24 00:00:00-04:00,169.9,170.52,169.22,169.51,11299809
2013-09-25 00:00:00-04:00,169.64,169.92,168.9,169.07,13804401
2013-09-26 00:00:00-04:00,169.33,170.17,169.06,169.66,11165143
2013-09-27 00:00:00-04:00,168.83,169.13,168.48,168.9,11279309
2013-09-30 00:00:00-04:00,167.48,168.54,167.15,168.0,18484802
2013-10-01 00:00:00-04:00,168.14,169.49,168.01,169.28,14940759
2013-10-02 00:00:00-04:00,168.35,169.21,167.83,169.17,11657509
